k,t[s],T[s]
20,29.47,1.4735
20,29.12,1.456
20,29.19,1.4595
20,28.91,1.4455
20,29.12,1.456
20,29.03,1.4515
20,29.09,1.4545
20,29.12,1.456
20,29.13,1.4565
20,29.19,1.4595
